Abbreviation,Meaning,Example
ጉ/መ/ቤት,ጉዳይ መ/ቤት,በማመልከቻው መሠረት ኤምባሲው ጉዳዩን ለውጪ ጉ/መ/ቤት አመልክቶ ቀደም ሲል የነበራቸውን የዲፕሎማቲክ ፓስፖርት በመሠረዝ አዲስ የኢትዮጵያ የዜግነት ማረጋገጫ ፓስፖርት ሰጥቷቸዋል። ሦስቱ የፕሬዝዳንቱ ልጆች ታላቋ 29 ዓመት እድሜ ያላት ትምህርት መንግስቱ፣ 27 ዓመት እድሜ የሆናት ትዕግስት መንግስቱ፣ ሶስተኛውና የመጨረሻው ወንድ ልጃቸው 23 ዓመት እድሜ ያለውና አንድነት መግንስቱ በመባል የሚታወቀው ነው። ቀደም ሲል ልጆቹ የነበራቸው ልዩ የዲፕሎማቲክና የአገልግሎት ፓስፖርት የተሠጣቸው የዲፕሎማት ቤተሰብ አባላት በመሆናቸው በፓስፖርቱ ላይ መገለጡም ታውቋል።
ጉ/ሚ,ጉዳይ ሚኒስትር, የውጪ ጉ/ሚ/ ስዩም መስፍን
ጉ/ሚ/ር,ጉዳይ ሚኒስትር,የደ/አፍሪካ የውጩ ጉ/ሚ/ር በበኩሉ ኮ/ል መንግሥቱን ወደኢትዮጵያ ለማጋዝ እንደማይችል ጠቅሶ ምክንያቱን ሲያብራራ ደ/አፍሪካ ወንጀለኛን የመለዋወጥ ስምምነት አለመፈራረሟን ገልጿል። በደ/አፍሪካ የሚገኘው የኢትዮጵያ ኤምባሲ በበኩሉ የኮ/ል መንግሥቱን ወደ ጆሃንስበርግ መግባት እንዳላወቀ (ከወሬ በቀር) ገልጿል።
ጉ/ም/ቤት,ጉዳይ ምክር ቤት, የኦሮሚያ እስልምና ጉ/ም/ቤት በጊምቢ የኑር መስጅድ ኢማምን ከሥራ አገደ
ጋዜጣና/መጽ,ጋዜጣና መጽሔት,  20ከበበው ገበየሁጦቢያ ጋዜጣና/መጽ ም/አ1
ግርማ/ልምጭ,ኃይለ ልምጭ,ፕሪምየር ሊጉ በ14 ሳምንት ጉዞው መደበኛ መሪውን ሳያሳውቅ በቅብብሎሽ ስፍራውን እያስረከበ ይገኛል። ሕልውናቸው በ24 ሰዓት ገደብ የተያዘው ሶስቱ አንጋፋ ክለቦች በፕሪየር ሊጉ የመሪነት ስፍራ ላይ ተፈራርቀውበታል። ለጊዮርጊስና ከቡና በተሻለ መልኩ መብራት ኃይል ለተወሰኑ ቀናት ቡድኑ በመሪነት ለመያዝ ቢችልም ዕሁድ ዕለት ቅዱስ ጊዮርጊስ ኒያላን 2ለ0 በማሸነፉና በአንፃሩ መብራት ኃይል ከአርባምንጭ ጋር 1ለ1 በሆነ አቻ ውጤት መለያየቱ ስፍራውን በጊዮርጊስ ለመነጠቅ ተገዷል። በሁለተኛው ዙር የመጀመሪያ ሳምንት ፕሮግራም ጊዮርጊስና ቡና ለማሸነፍ ቢችሉም እንቅስቃሴአቸው ማራኪ ስላልነበረ የደጋፊው ደስታ እንደቀድሞ ደመቅ ያለ እንዳልሆን አድርጎታል። እሁድ ዕለት ጊዮርጊስና ኒያላ ያደረጉት ፉክክር ከውበቱ ይልቅ አሰልቺ ገፅታው ፈጦ ወጥቱዋል። የከረረውን ፀሐይ ምክንያት በማድረግ ለዛ የሌለው ፉክክራቸውን ያደረጉት ሁለቱ ክለቦች ለውጤት የመትጋት አቅማቸው አናሳ ሆኗል። በተለይ ኒያላዎች በሜዳ ላይ አለመኖራቸው የለበሱት መለያ ብቻ መገለጫ እስከመሆን ድረስ ደካማ እንቅስቃሴ ማሳየታቸው በርካታው የስፖርት ቤተሰብ አሳዝኗል። ክለቡ ነጥብ ርቆት ከቆየ በኋላ ለማገገም ዳር ዳር በሚልበት ጊዜ ተመልሶ ወደ ቀድሞው የድክመት መስመር ማምራት ሕልውናውን አደጋ አጋልጦ መስጠት ሊሆን እንደሚችል በስፋት ተነግሯል። በዕለቱ ቅዱስ ጊዮርጊስ ከዕረፍት በፊትና በኋላ ባስቆጠራቸው ሁለት ግቦች አሸናፊ የሆነ ሲሆን የመጀመሪያውን በአንተነህ ፈለቀ ተቀይሮ የገባው ጌትነት ሞት ባይኖር ሁለተኛውን ደግሞ ሰለሞን ግርማ/ልምጭ/ መሰል ጠንካራ የቅጣት በትሩን በመሰንዘር ጊዮርጊስ 2ለ0 በሆነ ውጤት እንዲያሸንፍ አስችሎታል።
ግንባር/ኦነግ,ግንባር /ኦሮሞ ነፃነት ግንባር,«የኢትዮጵያ ገዥ ፓርቲው ኢህአዴግና ዋነኛ ተቃዋሚው የኦሮሞ ነፃነት ግንባር/ኦነግ/ ያሉባቸውን የሐሣብ ልዩነቶችና ግጭቶች በውይይት ለማሻሻል በሮቻቸውን ክፍት አድርገው ነበር። በኦክቶበር/ጥቅምት/ 8 ቀ ግን የመንግሥት የደህነት ኃይሎች የኦነግ የደህንነት ኃይሎች ናቸው ካላቸው ውስጥ ሶስቱን መግደሉንና ሁለቱን ደግሞ በቁጥጥ ሥር ማዋሉን በሚዲያዎቹ አስታወቀ። ከሁለት ቀናት በኋላም ኢህአዴግ ወስጃለሁ ያለውን (የመካኒሣ አካባቢውን እርምጃ) አጠራጣሪነት በማስመልከት ስለተገደሉት ሰዎች በሰጡት አስተያየትና መረጃ ምክንያት የኡርጂ ጋዜጣ አዘጋጁ አቶ ሰለሞን ነመራና ረዳቱ አቶ ተስፋዬ ዴሬሣ ታሰሩ። ኡርጂ ጋዜጣ በምሥራቅ፣ በደቡብና በምዕራብ፣ እንዲሁም በሰፊው የኦሮሚያ ክልል ውስጥ በኦሮሞ ብሄር ተወላጅና ሌሎች ሲቪል ህብረተሰብ፣ በኦነግ ደጋፊዎችና አባላት ላይ የሚደርሰውን የሰብአዊ መብት መደፈርና የኦነግ እንቅስቃሴዎችን በመከታተል ዘግባ ለህዝብ ይፋ የምታደርግ ሣምንታዊ ጋዜጣ ናት» የሚለው የአፍሪካ ኮንፍዴንሻል መጽሔት ኦነግ የሽግግር መንግሥቱን ጥሎ ከወጣበት ከ1992 ወዲህ በጀርመን ውስጥ ከኢህአዴግ ጋር ለድርድር መቅረቡንና ከወጣው የጋራ ስምምነታቸው ማስታወሻ እንዳገኘናቸው በሚገልፀው መሰረትም ኢህአዴግ ለኦነግ እውቅና እንዲሰጥና በህጋዊ ፓርቲነት እንዲቀበል፣ በኦሮሚያና በሌሎች አጎራባች ክልሎችም ቢሮውን ከፍቶ እንዲንቀሣቀስ፣ በአራት ዓመታት ጊዟ ውስጥም በኦሮሚያ ሪፍረንደም(ህዝበ-ውሣኔ) እንዲካሄድ፣ የራሱን ጦርና ማስ ሚዲያዎች እንዲኖሩት ከስምምነት ላይ ተደርሶ እንደነበርና ባሁኑ ጊዜ ኦሮሚያ ክልል ውስጥ ስለሚገኘው ኦህዴድ ግንም ምንም ነገር አለመነሣቱና በአንድም ቃል አለመጠቀሱን ያስረዳል።
ጠ/ሚ,ጠቅላይ ሚኒስትር,ህዝባዊ ወያኔ ሓርነት ትግራይ በበኩሉ ከመከፋፈል ተርፎ ባካሄደው ጉባዔ 45 አባላትን በማ/ኮሚቴ አባልነት ከመረጠ በኋላ ጠ/ሚ መለስን በሊቀመንበርነት፣ ው/ጉ/ሚ ስዩምን በም/ሊቀመንበርነት፣ አቶ ስብሐት ነጋ፣ አቶ አርከበ ዕቁባይ፣ አቶ አባዲ ዘሙ፣ አቶ ፀጋዬ በርኸ፣ አቶ አባይ ወልዱ፣ አቶ ቴዎድሮስ ሐጐስንና፣ አቶ ሙሉጌታ ዓለምሰገድን በሥራ አስፈፃሚነት መርጧል።
ጠ/ሚ/መለስ,ጠቅላይ ሚኒስትር መለስ,የአዲስ አበባ ፋይናንስ መምሪያ ኃላፊ ይህንን ሲሉ ነዋሪው አገሪቱ ሳትወድ በግድ የገባችንበትን ጦርነት በድል አድራጊነት እንድንወጣው የተለያዩ ድጋፎችን በማድረግ ላይ ያለውን ሕዝብ እንዴት ውዝፍ ግብር በዚህ ጊዜ እንጠይቃለን ተብሎ በዚህ ዓመት የፓርላማ መጨረሻ ቀን ስብሰባ ላይ በተነሳው ጥያቄ ጠ/ሚ/መለስ ዜናዊ ለጦርነቱ ብለን ማባበል አይገባንም ብለዋል።
ጠ/ሚ/መሐመድ,ጠቅላይ ሚኒስትር መሐመድ,ጠ/ሚ/መሐመድ ጌዲ
ጠ/ሚ/ሩ,ጠቅላይ ሚኒስትሩ,በሌላ በኩል የደርግ ሥርዓት የወደቀበትን 12ኛ ዓመት በዓል ምክንያት በማድረግ ጠ/ሚ/ር መለስ ከውጭ መገናኛ ብዙሀን ጋር ባደረጉት ቃለ ምልልስ ባለፉት 12 ዓመታት በዚች አገር ለደረሰው ጥፋትና በደል መንግስት ተጠያቂ ነው ማለታቸው ተሰምቷል። በተለይ ረሀብና ድህነት በጊዜው እየተባባሰ መምጣቱ ክፉኛ እንዳሳዘናቸው የጠቀሱት ጠ/ሚ/ሩ፤ ከዚህ ችግር መውጣት የሚቻለው ጠንክሮ በመስራት ብቻ እንደሆነ ጠቅሰው መንግስታቸው አስፈላጊውንንና የተቻለውን ያህል ጥረት እያደረገ እንደሚገኝ አስታውቀዋል።
ጠ/ሚ/ሩም,ጠቅላይ ሚኒስትሩም,"ጠ/ሚ/ር መለስ ለፓርላማ አባላቱ ገለፃ ካደረጉና ለጥያቄዎች ምላሽ ከሰጡ በኋላ ""The Royal Institute of Internationals Affairs"" የተባለ ተቋም ባዘጋጀው መድረክም ገለፃ አድርገዋል።በዚህ መድረክ ኢትዮጵያውያን ተገኝተዋል። ጠ/ሚ/ሩም ኔፓድን (NEPAD- NEW Partnership for Africa's Development) በተመለከተ ገለፃ አድርገዋል። አዲስ አጋርነት ለአፍሪካ ልማት በሚለው ዙሪያ ጠ/ሚ/ሩ ገለፃ ሲያደርጉ በዚህ ዙሪያ ጥያቄ ተሰንዝሮላቸዋል። ""ለኔፓድ ስኬት መልካም አስተዳደር መኖር አለበት፤ በስልጣን ላይ ያለን መንግስት የሚያገለግል የዳኝነት ስርአት ባለበት ሀገር የሕዝቦች የዜግነትና የመኖር መብት እንዴት ነው መጠበቅ የሚችለው? ይህ ላለፉት 10 ዓመታት የኢትዮጵያ መንግስት የሚወቀስበት ነው። ክቡር ጠ/ሚ/ር የኔፓድን መስፈርት ለማሟላትና ነገሮችን ለማሻሻል ምን ታስቧል?"" በሚል ለቀረበው ጥያቄ ጠ/ሚ/ሩ ስለኔፓድ ሰፊ ማብራሪያ ከሰጡ በኋላ ወደ ጥያቄው በማምራ ምላሽ ሰጥተዋል።"
ጠ/ሚ/ሩስ,ጠቅላይ ሚኒስትሩስ,በንግድ ባንክ ውስጥ ለ10 ዓመታት ያህል ዝርፊያ ሲካሄድ የት ነበሩ? ጠ/ሚ/ሩስ በዚህ ረገድ መጠየቅ የለበትም? ቦርዱስ ኃላፊነት የለብትምን? በሚል ለቀረበው ጥያቄ ጠ/ሚ/ር መለስ ምላሻቸውን የጀመሩት «ትራንስፓረንሲ ኢንተርናሽናል» (ዓለም አቀፍ ግልፅነት?) የተባለው ተቋም ኢትዮጵያ በሙስና ከአፍሪካ ሐገሮች ሻል ያለች ነች በማለት ምስክርነት መስጠቱን በመግለፅ ነው «ይህ ግን የምንኮራበት አይደለም» ያሉት መለስ ዜናዊ ቀደም ሲል ሕጉ ማነቆ በመሆኑ እንጂ ሰዎችን እየገመገምን እናባርር ነበር፤ ለአራት ዓመታት በተደረገው ጥረት የፀረ-ሙስና ተቋም በመመስረቱ የፀረ-ሙስናው ትግል መስመር መያዙን ተናግረዋል። በዚህም ቢሆን እስከወዲያኛው ሙስና በቁጥጥር ስር ማድረግ እንጂ ሙስናን መቶ በመቶ እናጠፋለን የሚል እምነት የለንም ብለዋል። ሙስና በአገሪቱ በመከሰቱ ጠ/ሚ/ሩ ስልጣን የሚለቁ ከሆነ የኢትዮጵያ ጠ/ሚ/ር የሚባል አይኖርም በማለትም እርሳቸውን በዚህ ረገድ ስልጣን እንዲለቁ የሚደረገው ጥያቄ ተገቢ አለመሆኑን አሳይተዋል፤ በንግድ ባንኩ ውስጥ ገንዘብ በዚህ ደረጃ እስኪዘረፍ ክትትል አለመደረጉ በፖለቲካ ደረጃ የሚያስጠይቅ ሊሆን ይችላል ሲሉ በተወሰነም ደረጃ ጥፋታችውን ያመኑ ሲሆን፣ ይህ ማለት ግን የሌብነቱ ተባባሪ መሆንን አያሣይም ብለዋል። አብሮን የደማ የትግል አጋራችንንም አሣልፈውን ሰጥተናል በማለትም በሙስና ላይ ያላቸውን ቁርጠኝነት ለማሣየት ሞክረዋል።
ጠ/ሚ/ሩን,ጠቅላይ ሚኒስትሩን,ጠ/ሚ/ር ከዚህ ሌላ አንዳንድ ጊዜ በግል አዲስ አበባ በመኪና እንደሚዘዋወሩ ገልፀዋል። ጠ/ሚ/ሩ ከአሜሪካው ፕሬዚዳንት ጆርጅ ቡሽ በላይ በተጠናከረ ጥበቃ ሥር የሚንቀሳቀሱ ብቸኛው የዓለም መሪ መሆናቸው ይታወቃል። ጠ/ሚ/ሩ ወደ ቦሌ አውሮፕላን ማረፊያ ሲንቀሳቀሱ መንገዱ ሙሉ ለሙሉ ከሰውና ከመኪና የሚፀዳ ሲሆን ከዋናው መንገድ ተጠራርጐ በትናንሽ የውስጥ መንገዶች ላይ እንዲሰባሰብ የሚደረገው የአዲስ አበባ ነዋሪ መኪናቸው ገና ከቤተመንግሥት ሲነሳ ፊቱን ወደኋላ እንዲያዞር በጠባቂዎቻቸው ይታዘዛል። በዚህ ሳቢያ እንኳን ጠ/ሚ/ሩን የሚሄዱበትን መኪና ህዝብ እንዳያየው የሚያደርጉ ብቸኛው መሪ እንደሆኑ ታዛቢዎች ይናገራሉ። ጠቅላይ ሚኒስትሩ የሕወኃት ውስጥ ክፍፍል ከመፈጠሩ በፊት በትግራይ (በተለይ በአድዋ) በነፃነት ይንቀሳቀሱ የነበሩ ቢሆንም ከክፍፍሉ በኋላ ግን በዙሪያቸው የተጠናከረ ጥበቃ ይደረጋል። 
ጠ/ሚ/ሩንና,ጠቅላይ ሚኒስትሩንና,ሕወሓት ውስጥ ቀውስ ከመፈጠሩና ሁለት ጎራ ከመከፈላቸው በፊት በፍራንክፈርት ከተማ በሚዘጋጀው የትግራይ ተወላጆች ስብሰባ ላይ ከ300 በላይ ሰዎች ይገኙ ዕንደነበር ተያይዞ የመጣው ዜና ያስረዳል። በሕወሓት ውስጥ ልዩነት ተከስቶ እነ ስዬ ከታገዱ ወዲህ በውጭ ሐገር የሚኖሩ የትግራይ ተወላጆች በአቶ መለስ ቡድን ላይ ፊታቸውን ያዞሩ ሲሆን አብዛኛዎቹም በሲቢል ተቋም አይ.ሲ.ቲ.ዲ ስር በመደራጀት ጠ/ሚ/ሩንና ቡድናቸውን ጠንከርና መረር ባሉ ቃላት መፋለም ይዘዋል። በተያያዘ ዜናም በዩ.ኤስ.ኤ አሜሪካ ሲያትል ከተማ ነዋሪ የሆኑ የትግራን ተወላጆች በተመሣሣይ መልኩ በተዘጋጀው ስብሰባ ስይገኙ ቀርተዋል። የሲያትል ከተማ የትግራይ ተወላጆች ትግርኛ ተናናጋሪውን ብቻ ሣይሆን ለሁሉም ኢትዮጵያዊ ጥሪ መደርድግ ይገባዋል በቋንቋና በጎሳ መከፋፈሉ ይብቃ ሲሉ መቃወማቸውም ተመልክቷል። በአ/አበባ ተወላጆች በተለይም በመንግስት ስራና ስልጣን ላይ የሚገኙት ለአቶ መለስ ቡድን እጅ የሰጡ መሆናቸው በስፋት ቢታወቅም በትግራይ አካባቢ ያለው ሕዝባዊ ድጋፍ ለነስዬ መሆኑ በግልፅ እየታየ መምጣቱን ታዛቢዋች ይገልፃሉ በትግራይ የሚኖሩ የትግራይ ተወላጆች በግልፅ ተቃወሞ አደባባይ ባይወጡም ቢያንስ በዝምታና ባስመደገፍለአቶ መለስ ቡድን ያላቸውን ጥላቻ እደሚገልጹም ተመልክቷል። የአቶ መለስ ቡድን ግን በርምጃው ትክክለኛነት ተማምና የታገዱት ሰዎችን ከም/ቤት አባሮ በምትካቸው ሌሎችን ለማስመረጥ ዝግጅቱን አጠናቋል።ባለፈው ሣምንት ዘገባችን እንደተመለከተው በወ/ሪት አረጋሽ አዳነ በአቶ አውአሎም ወልዱና በአቶ አብርሃ ካሕሣይ ምትክ ሕወሓትን ወክለው የሚወዳደሩ ሰዎች ታውቀዋል። ባለፈው እሁድ ታትሞ የወጣው»ወጋሕታ» የትግርኛ ጋዜጣ እንዳመለከተው በአዲሶቹ የሕወሐት ዕጩዎች ላይ ሕዝቡ ተቃውሞውን እየገለፀ ይገኛል።
ጠ/ሚ/ር,ጠቅላይ ሚኒስቴር,ጠ/ሚ/ር መለስና ገነት ዘውዴን ጨምሮ በርካታ የኢህአዴግ ም/ቤት አባላት በፓርላማው አልተገኙም። አንዳንድ ወገኖች ከፓርላማው መከፈት በፊት ሁኔታዎችን በማመቻቸታቸው ውጤቱን ስለሚያውቁት ነው የሚል አስተያየት ይሰጣሉ።
ጠ/ሚ/ርመለስ,ጠቅላይ ሚኒስቴር መለስ,ጠ/ሚ/ር መለስ በተለይ የድንበር ኮሚሽኑን ውሳኔ በተመለከተ ውሳኔው ተግባራዊ መሆን የለበትም ከማለት ባሻገር ተግባራዊ ቢሆን ችግር ያስከትላል ሲሉም አሳበዋል። ውሳኔው ተግባራዊ ቢሆን በሐገሪቱ ሰላም ላይ አደጋ ይጋረጣል ያሉት ጠ/ሚ/ርመለስ ዜናዊ ውሳኔው አንድን መንደር ሳይሆን አንድ ቤት ጭምር ለሁለት የከፈለ በመሆኑ ይህን መቀበል እንደማይቻል አመልክተዋል። የድንበር ማካለሉ አሁን ባለው ሁኔታ ተግባራዊ ቢሆን ችግር ይከተላል ያሉት ጠ/ሚ/ር መለስ ዜናዊ ውዝግቡን ለመፍታት ያለው አማራጭ መደራደርና መወያየት ነው፤ ያለው አማራጭም ይኸው ብቻ ነው ብለዋል። ድርድሩ ምን ሰጥቶ ምን ለመቀበል እንደሆነ ግን በግልፅ አላመከቱም። ድርድሩ በቀጥታም ሆነ ሶስተኛ ወገን ባለበት ሊካሄድ እንደሚችልም አመልክተዋል።
ጠ/ሚ/ርነት,ጠቅላይ ሚኒስትርነት,ፓርላማው ከትናት በስቲያ ሰኞ የም/ቤቱን አፈ-ጉባኤ የመረጠ ሲሆን፣ የወጣቶች ባህልና ስፖርት ሚኒስትር የነበሩት አቶ ተሾመ ቶጋ አፈ-ጉባኤ እንዲሆኑ የንግድና ኢንዱስትሪ ሚ/ር ግርማ ብሩ በጠቆሙት መሠረት አቶ ተሾመ አፈ ጉባኤ ሆነው ሲመረጡ፣ ወ/ሮ ሽታዬ ምንአለ የተባሉት ደግሞ ምክትል አፈ ጉባኤ ሆነው ተሹመዋል። የቀድሞው ፓርላማ አፈ ጉባኤ ዳዊት ዮሀንስ ከአማራ፣ ምክትል አፈ ጉባኤ ጴጥሮስ ኦላንጐ ከወላይታ እንደሆኑት ሁሉ አሁንም ሁለቱ አፈ-ጉባኤዎች ከወላይታና ከአማራን አቻው፣ አሁን ዋናው ለወላይታ፣ ምክትሉ ለአማራ ሆኗል። ጠ/ሚ/ርነት በቋሚነት ለትግራይ፣ ፕሬዚዳንትነት ደግሞ በተመሳሳይ ለኦሮሞ፣ ም/ጠ/ሚኒስትርነት ለአማራ ሆኖ መቀጠሉ ይታወቃል። ትናንት ፓርላማ ውስጥ የኦሮሞ ህዝብ ከብዛቱና ክቁትሩ አንጻር ወሳኝ የስልጣን ቦታዎችን ተነፍጓል የሚል ተቃውሞ ከተቃዋሚዎች ዘንድ የተሰነዘረ ሲሆን፣ ኦሮሞ ጠ/ሚ/ር የማይሆነው ለምንድን ነው? የሚል ጥያቄም ተነስቷል። እንደው ሌላው ቢቀር ም/ጠ/ሚኒስትርነት ለምን እንነፈጋለን? የሚል ተቃውሞ የተነሳ ቢሆንም፣ በኦህዴድ በኩል ኦሮሞ ስልጣን አንሶታል የሚል ጥያቄ ያነሳ የለም።
